,time,channel_a,channel_b,channel_c,channel_d,channel_e
a,2018-11-02 07:44:58.480236,1023,0,531,1023,529
b,2018-11-02 07:44:58.583775,1023,0,380,1023,376
c,2018-11-02 07:44:58.686910,1023,0,273,1023,263
d,2018-11-02 07:44:58.790032,1023,0,178,145,173
e,2018-11-02 07:44:58.893163,1023,0,659,0,655
f,2018-11-02 07:44:58.996255,1023,0,765,227,763
g,2018-11-02 07:44:59.099391,1023,0,622,1023,619
h,2018-11-02 07:44:59.202646,1023,0,548,834,544
i,2018-11-02 07:44:59.309529,1023,0,362,126,357
j,2018-11-02 07:44:59.416461,1023,0,226,1023,221
k,2018-11-02 07:44:59.523449,1023,0,190,0,184
l,2018-11-02 07:44:59.630393,1023,0,641,1023,637
m,2018-11-02 07:44:59.737389,1023,0,696,247,692
n,2018-11-02 07:44:59.844311,1023,0,597,264,589
o,2018-11-02 07:44:59.951264,1023,0,475,1005,472
p,2018-11-02 07:45:00.058179,1023,0,335,0,331
q,2018-11-02 07:45:00.165299,1023,0,230,1023,224
r,2018-11-02 07:45:00.272285,1023,0,280,0,276
s,2018-11-02 07:45:00.379203,1023,0,641,961,637
t,2018-11-02 07:45:00.486194,1023,0,634,738,630
u,2018-11-02 07:45:00.593142,1023,0,549,121,542
v,2018-11-02 07:45:00.700156,1023,0,384,1023,380
w,2018-11-02 07:45:00.807137,1023,0,299,0,284
x,2018-11-02 07:45:00.914122,1023,0,259,1023,253
y,2018-11-02 07:45:01.021140,1023,0,652,134,649
z,2018-11-02 07:45:01.128087,1023,0,633,452,629
